
;NB_triplets
Nb triplets;109234

;NB_o
Nb "o";26922

;NB_s
Nb "s";18597

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q189275";32
Distribution of linked "o";"Q390230";32
Distribution of linked "o";"Q318922";32
Distribution of linked "o";"Q157464";32
Distribution of linked "o";"Q646596";32
Distribution of linked "o";"Q10315";32
Distribution of linked "o";"Q1534448";32
Distribution of linked "o";"Q1513287";31
Distribution of linked "o";"Q3590614";31
Distribution of linked "o";"18890101";31
Distribution of linked "o";"Q19516";31
Distribution of linked "o";"Q243235";31
Distribution of linked "o";"Q1857213";31
Distribution of linked "o";"19710101";31
Distribution of linked "o";"Q3736767";31
Distribution of linked "o";"19480101";31
Distribution of linked "o";"Q191264";31
Distribution of linked "o";"Q51974";31
Distribution of linked "o";"Q770740";31
Distribution of linked "o";"Q291447";31
Distribution of linked "o";"Q327238";31
Distribution of linked "o";"Q19446";31
Distribution of linked "o";"Q44441";31
Distribution of linked "o";"Q574298";31
Distribution of linked "o";"Q2332493";31
Distribution of linked "o";"19390101";30
Distribution of linked "o";"Q18750";30
Distribution of linked "o";"Q914086";30
Distribution of linked "o";"Q2462207";30
Distribution of linked "o";"Q364698";30
Distribution of linked "o";"Q3873502";30
Distribution of linked "o";"Q701290";30
Distribution of linked "o";"Q14551982";30
Distribution of linked "o";"19520101";30
Distribution of linked "o";"Q920263";30
Distribution of linked "o";"Q24711";30
Distribution of linked "o";"Q1636019";30
Distribution of linked "o";"18900101";30
Distribution of linked "o";"Q270420";30
Distribution of linked "o";"Q206692";30
Distribution of linked "o";"Q497334";30
Distribution of linked "o";"Q211177";30
Distribution of linked "o";"Q1630613";30
Distribution of linked "o";"19720101";30
Distribution of linked "o";"18790101";30
Distribution of linked "o";"Q566219";30
Distribution of linked "o";"Q782387";30
Distribution of linked "o";"Q162364";30
Distribution of linked "o";"Q345142";30
Distribution of linked "o";"Q429468";30
Distribution of linked "o";"Q4006951";30
Distribution of linked "o";"Q318348";30
Distribution of linked "o";"Q210530";30
Distribution of linked "o";"Q614987";30
Distribution of linked "o";"Q1683280";30
Distribution of linked "o";"Q1270133";30
Distribution of linked "o";"Q1131732";30
Distribution of linked "o";"Q428211";29
Distribution of linked "o";"Q18661";29
Distribution of linked "o";"19580101";29
Distribution of linked "o";"Q19598";29
Distribution of linked "o";"19090101";29
Distribution of linked "o";"Q308683";29
Distribution of linked "o";"Q6767";29
Distribution of linked "o";"Q19651";29
Distribution of linked "o";"Q170117";29
Distribution of linked "o";"18830101";29
Distribution of linked "o";"19340101";29
Distribution of linked "o";"Q5423714";29
Distribution of linked "o";"Q659212";29
Distribution of linked "o";"Q1322550";29
Distribution of linked "o";"Q425690";29
Distribution of linked "o";"Q1754163";29
Distribution of linked "o";"Q19513";28
Distribution of linked "o";"19380101";28
Distribution of linked "o";"Q3568145";28
Distribution of linked "o";"Q19449";28
Distribution of linked "o";"Q2346842";28
Distribution of linked "o";"19370101";28
Distribution of linked "o";"Q29112";28
Distribution of linked "o";"Q663400";28
Distribution of linked "o";"Q853053";28
Distribution of linked "o";"Q4127960";28
Distribution of linked "o";"Q1051238";28
Distribution of linked "o";"Q2868221";28
Distribution of linked "o";"Q211906";28
Distribution of linked "o";"Q291471";28
Distribution of linked "o";"19330101";28
Distribution of linked "o";"Q162317";28
Distribution of linked "o";"Q321669";28
Distribution of linked "o";"Q605756";28
Distribution of linked "o";"Q212564";28
Distribution of linked "o";"Q1580781";28
Distribution of linked "o";"Q1368064";28
Distribution of linked "o";"Q4285478";28
