
;NB_triplets
Nb triplets;194420

;NB_o
Nb "o";31538

;NB_s
Nb "s";22890

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q1199965";72
Distribution of linked "o";"Q460448";70
Distribution of linked "o";"Q218883";70
Distribution of linked "o";"Q1202771";70
Distribution of linked "o";"Q680770";70
Distribution of linked "o";"Q604589";70
Distribution of linked "o";"Q5985726";70
Distribution of linked "o";"Q170327";70
Distribution of linked "o";"Q318348";70
Distribution of linked "o";"Q180845";70
Distribution of linked "o";"Q3873499";70
Distribution of linked "o";"Q1754163";70
Distribution of linked "o";"Q161034";68
Distribution of linked "o";"19450101";68
Distribution of linked "o";"Q8639";68
Distribution of linked "o";"Q641373";68
Distribution of linked "o";"Q28089";68
Distribution of linked "o";"Q849823";68
Distribution of linked "o";"Q302967";68
Distribution of linked "o";"Q749138";68
Distribution of linked "o";"Q15755";68
Distribution of linked "o";"Q15809115";68
Distribution of linked "o";"Q738917";68
Distribution of linked "o";"Q172803";68
Distribution of linked "o";"Q659212";68
Distribution of linked "o";"Q844238";68
Distribution of linked "o";"Q1022939";68
Distribution of linked "o";"Q738423";68
Distribution of linked "o";"Q657451";68
Distribution of linked "o";"Q2129100";68
Distribution of linked "o";"Q19598";67
Distribution of linked "o";"Q19509";66
Distribution of linked "o";"Q170040";66
Distribution of linked "o";"Q248188";66
Distribution of linked "o";"Q221882";66
Distribution of linked "o";"Q646135";66
Distribution of linked "o";"Q865720";66
Distribution of linked "o";"Q203573";66
Distribution of linked "o";"Q643107";66
Distribution of linked "o";"Q874016";66
Distribution of linked "o";"Q699732";66
Distribution of linked "o";"Q186262";66
Distribution of linked "o";"Q603271";66
Distribution of linked "o";"Q3873547";66
Distribution of linked "o";"Q3873528";66
Distribution of linked "o";"Q2093314";66
Distribution of linked "o";"Q9426";64
Distribution of linked "o";"Q19607";64
Distribution of linked "o";"19430101";64
Distribution of linked "o";"Q7855167";64
Distribution of linked "o";"Q12249";64
Distribution of linked "o";"Q6767";64
Distribution of linked "o";"Q1636019";64
Distribution of linked "o";"Q243235";64
Distribution of linked "o";"Q9653";64
Distribution of linked "o";"Q3589828";64
Distribution of linked "o";"Q3589895";64
Distribution of linked "o";"Q6463";64
Distribution of linked "o";"Q749113";64
Distribution of linked "o";"Q181216";64
Distribution of linked "o";"Q291447";64
Distribution of linked "o";"Q1501893";64
Distribution of linked "o";"Q3658577";64
Distribution of linked "o";"Q223728";64
Distribution of linked "o";"Q52942";64
Distribution of linked "o";"Q1508285";64
Distribution of linked "o";"Q1534448";64
Distribution of linked "o";"Q214940";64
Distribution of linked "o";"Q957565";64
Distribution of linked "o";"Q11492669";64
Distribution of linked "o";"Q329471";63
Distribution of linked "o";"Q730809";62
Distribution of linked "o";"Q1775265";62
Distribution of linked "o";"Q918209";62
Distribution of linked "o";"Q335483";62
Distribution of linked "o";"Q180305";62
