
;NB_triplets
Nb triplets;48751

;NB_o
Nb "o";22185

;NB_s
Nb "s";14637

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q218883";14
Distribution of linked "o";"Q497334";14
Distribution of linked "o";"Q6630";14
Distribution of linked "o";"Q1133475";14
Distribution of linked "o";"Q2868221";14
Distribution of linked "o";"Q3589828";14
Distribution of linked "o";"Q291471";14
Distribution of linked "o";"Q142005";14
Distribution of linked "o";"19330101";14
Distribution of linked "o";"19000101";14
Distribution of linked "o";"Q352270";14
Distribution of linked "o";"Q318922";14
Distribution of linked "o";"Q201006";14
Distribution of linked "o";"19340101";14
Distribution of linked "o";"Q782387";14
Distribution of linked "o";"Q183326";14
Distribution of linked "o";"Q212564";14
Distribution of linked "o";"Q646596";14
Distribution of linked "o";"Q131785";14
Distribution of linked "o";"Q170107";14
Distribution of linked "o";"Q1368064";14
Distribution of linked "o";"Q746853";14
Distribution of linked "o";"Q674799";14
Distribution of linked "o";"Q3720221";14
Distribution of linked "o";"Q512476";14
Distribution of linked "o";"Q2306468";14
Distribution of linked "o";"Q183468";14
Distribution of linked "o";"Q391914";14
Distribution of linked "o";"Q841245";14
Distribution of linked "o";"Q725367";13
Distribution of linked "o";"19040101";13
Distribution of linked "o";"Q7232579";13
Distribution of linked "o";"Q702455";13
Distribution of linked "o";"Q3303021";13
Distribution of linked "o";"Q202093";13
Distribution of linked "o";"Q201584";13
Distribution of linked "o";"Q193377";13
Distribution of linked "o";"Q2346842";13
Distribution of linked "o";"Q7855039";13
Distribution of linked "o";"Q8835";13
Distribution of linked "o";"Q12308";13
Distribution of linked "o";"Q914086";13
Distribution of linked "o";"Q701290";13
Distribution of linked "o";"Q14551982";13
Distribution of linked "o";"Q1320554";13
Distribution of linked "o";"Q844931";13
Distribution of linked "o";"Q663400";13
Distribution of linked "o";"Q80958";13
Distribution of linked "o";"Q4127960";13
Distribution of linked "o";"Q762353";13
Distribution of linked "o";"Q19568";13
Distribution of linked "o";"Q604589";13
Distribution of linked "o";"Q3551886";13
Distribution of linked "o";"Q186276";13
Distribution of linked "o";"Q1630613";13
Distribution of linked "o";"Q15972883";13
Distribution of linked "o";"19240101";13
Distribution of linked "o";"18980101";13
Distribution of linked "o";"18830101";13
Distribution of linked "o";"19310101";13
Distribution of linked "o";"Q210864";13
Distribution of linked "o";"Q2037";13
Distribution of linked "o";"Q164089";13
Distribution of linked "o";"18810101";13
Distribution of linked "o";"19570101";13
Distribution of linked "o";"18860101";13
Distribution of linked "o";"Q1270129";13
Distribution of linked "o";"Q291447";13
Distribution of linked "o";"Q1580781";13
Distribution of linked "o";"Q603271";13
Distribution of linked "o";"Q1819189";13
Distribution of linked "o";"Q781951";13
Distribution of linked "o";"Q2663386";13
Distribution of linked "o";"Q1476647";13
Distribution of linked "o";"Q223727";13
Distribution of linked "o";"Q1346756";13
Distribution of linked "o";"Q6827262";13
Distribution of linked "o";"Q4245563";13
Distribution of linked "o";"Q1065266";13
Distribution of linked "o";"Q482566";13
Distribution of linked "o";"Q472752";13
Distribution of linked "o";"13000101";12
Distribution of linked "o";"19610101";12
Distribution of linked "o";"Q263779";12
Distribution of linked "o";"Q19473";12
Distribution of linked "o";"Q7058582";12
Distribution of linked "o";"Q3590810";12
Distribution of linked "o";"Q3061505";12
Distribution of linked "o";"Q459148";12
Distribution of linked "o";"Q12217";12
Distribution of linked "o";"Q43710";12
Distribution of linked "o";"Q10333";12
Distribution of linked "o";"Q8408";12
Distribution of linked "o";"Q292231";12
Distribution of linked "o";"Q29112";12
Distribution of linked "o";"Q8476";12
Distribution of linked "o";"Q192597";12
Distribution of linked "o";"Q170117";12
Distribution of linked "o";"Q19487";12
Distribution of linked "o";"Q9653";12
Distribution of linked "o";"19180101";12
Distribution of linked "o";"Q1581559";12
Distribution of linked "o";"Q645229";12
Distribution of linked "o";"Q18712540";12
Distribution of linked "o";"Q3589895";12
Distribution of linked "o";"Q274778";12
Distribution of linked "o";"Q13385";12
Distribution of linked "o";"Q1893";12
Distribution of linked "o";"Q321669";12
Distribution of linked "o";"Q18128465";12
Distribution of linked "o";"Q332532";12
Distribution of linked "o";"Q332605";12
Distribution of linked "o";"Q597992";12
Distribution of linked "o";"19020101";12
Distribution of linked "o";"Q1971820";12
Distribution of linked "o";"Q3873545";12
Distribution of linked "o";"Q1501893";12
Distribution of linked "o";"Q639482";12
Distribution of linked "o";"Q19446";12
Distribution of linked "o";"Q659212";12
Distribution of linked "o";"Q3589775";12
Distribution of linked "o";"Q871718";12
Distribution of linked "o";"Q223264";12
Distribution of linked "o";"Q2017456";12
Distribution of linked "o";"Q200688";12
Distribution of linked "o";"Q7120603";12
Distribution of linked "o";"Q657451";12
Distribution of linked "o";"Q152087";11
Distribution of linked "o";"Q1513287";11
Distribution of linked "o";"Q18661";11
Distribution of linked "o";"Q271574";11
Distribution of linked "o";"12000101";11
Distribution of linked "o";"Q465845";11
Distribution of linked "o";"Q248188";11
Distribution of linked "o";"Q430993";11
Distribution of linked "o";"Q3590614";11
Distribution of linked "o";"Q3090754";11
Distribution of linked "o";"18950101";11
Distribution of linked "o";"18940101";11
Distribution of linked "o";"Q72521";11
Distribution of linked "o";"19070101";11
Distribution of linked "o";"Q18662";11
Distribution of linked "o";"Q6417782";11
Distribution of linked "o";"Q191843";11
Distribution of linked "o";"Q6703";11
Distribution of linked "o";"Q6748";11
Distribution of linked "o";"Q10499";11
Distribution of linked "o";"Q2457917";11
Distribution of linked "o";"Q4260876";11
Distribution of linked "o";"19250101";11
Distribution of linked "o";"Q325265";11
Distribution of linked "o";"Q190943";11
Distribution of linked "o";"Q602542";11
Distribution of linked "o";"Q843210";11
Distribution of linked "o";"Q1051238";11
Distribution of linked "o";"Q1857213";11
Distribution of linked "o";"Q428047";11
Distribution of linked "o";"Q2719759";11
Distribution of linked "o";"Q639091";11
Distribution of linked "o";"Q1738143";11
Distribution of linked "o";"Q4107588";11
Distribution of linked "o";"18970101";11
Distribution of linked "o";"Q2736263";11
Distribution of linked "o";"Q510091";11
Distribution of linked "o";"Q1813168";11
Distribution of linked "o";"Q182072";11
Distribution of linked "o";"Q1202758";11
Distribution of linked "o";"Q692755";11
Distribution of linked "o";"Q219235";11
Distribution of linked "o";"Q738917";11
Distribution of linked "o";"Q2610181";11
Distribution of linked "o";"Q286490";11
Distribution of linked "o";"Q684132";11
Distribution of linked "o";"Q602326";11
Distribution of linked "o";"Q597838";11
Distribution of linked "o";"Q172803";11
Distribution of linked "o";"Q2329903";11
Distribution of linked "o";"Q734785";11
Distribution of linked "o";"Q885004";11
Distribution of linked "o";"Q666179";11
Distribution of linked "o";"Q368675";11
Distribution of linked "o";"Q10315";11
Distribution of linked "o";"Q328658";11
Distribution of linked "o";"Q757754";11
Distribution of linked "o";"Q492826";11
Distribution of linked "o";"Q574997";11
Distribution of linked "o";"Q222877";11
Distribution of linked "o";"Q1199965";11
Distribution of linked "o";"Q875120";11
Distribution of linked "o";"Q1677879";11
Distribution of linked "o";"Q1575615";11
Distribution of linked "o";"Q4160534";11
Distribution of linked "o";"Q778858";11
Distribution of linked "o";"Q252008";11
Distribution of linked "o";"Q188228";11
Distribution of linked "o";"19790101";10
Distribution of linked "o";"Q2138599";10
Distribution of linked "o";"Q4140015";10
Distribution of linked "o";"Q216032";10
Distribution of linked "o";"19700101";10
Distribution of linked "o";"Q283545";10
Distribution of linked "o";"Q11979";10
Distribution of linked "o";"Q7855167";10
Distribution of linked "o";"Q914169";10
Distribution of linked "o";"Q48943";10
Distribution of linked "o";"Q5163172";10
Distribution of linked "o";"Q1387396";10
Distribution of linked "o";"Q751994";10
Distribution of linked "o";"Q113000";10
Distribution of linked "o";"Q2674";10
Distribution of linked "o";"Q188277";10
Distribution of linked "o";"Q220621";10
Distribution of linked "o";"Q13361030";10
Distribution of linked "o";"Q192071";10
Distribution of linked "o";"Q433529";10
Distribution of linked "o";"18670101";10
Distribution of linked "o";"Q180798";10
