
;NB_triplets
Nb triplets;48044

;NB_o
Nb "o";10904

;NB_s
Nb "s";6332

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q235411";14
Distribution of linked "o";"Q501245";14
Distribution of linked "o";"Q1090574";14
Distribution of linked "o";"Q2674";14
Distribution of linked "o";"Q1780231";14
Distribution of linked "o";"Q170040";14
Distribution of linked "o";"19760101";14
Distribution of linked "o";"Q872089";14
Distribution of linked "o";"19360101";14
Distribution of linked "o";"Q3627010";14
Distribution of linked "o";"Q643107";14
Distribution of linked "o";"Q4816008";14
Distribution of linked "o";"19690101";14
Distribution of linked "o";"Q7924284";14
Distribution of linked "o";"Q721418";14
Distribution of linked "o";"Q183326";14
Distribution of linked "o";"Q212564";14
Distribution of linked "o";"Q19585";14
Distribution of linked "o";"Q1103168";14
Distribution of linked "o";"Q513237";14
Distribution of linked "o";"Q1191998";14
Distribution of linked "o";"Q12278";14
Distribution of linked "o";"Q204881";14
Distribution of linked "o";"Q160826";14
Distribution of linked "o";"Q131785";14
Distribution of linked "o";"Q13405481";14
Distribution of linked "o";"Q48911";14
Distribution of linked "o";"Q16847600";14
Distribution of linked "o";"Q19634";14
Distribution of linked "o";"Q8812";14
Distribution of linked "o";"Q3590810";14
Distribution of linked "o";"Q16525407";14
Distribution of linked "o";"Q12217";14
Distribution of linked "o";"Q43710";14
Distribution of linked "o";"Q2454929";14
Distribution of linked "o";"Q2462207";14
Distribution of linked "o";"Q1886";14
Distribution of linked "o";"Q276533";14
Distribution of linked "o";"Q200321";14
Distribution of linked "o";"Q8723";14
Distribution of linked "o";"Q182740";14
Distribution of linked "o";"Q687297";14
Distribution of linked "o";"Q298518";14
Distribution of linked "o";"Q11971";14
Distribution of linked "o";"Q2106369";14
Distribution of linked "o";"Q8687";14
Distribution of linked "o";"Q790195";14
Distribution of linked "o";"Q8623";14
Distribution of linked "o";"Q6767";14
Distribution of linked "o";"Q24711";14
Distribution of linked "o";"Q464810";14
Distribution of linked "o";"Q5132102";14
Distribution of linked "o";"Q134241";14
Distribution of linked "o";"Q17521353";14
Distribution of linked "o";"Q207373";14
Distribution of linked "o";"Q5212629";14
Distribution of linked "o";"Q16699894";14
Distribution of linked "o";"Q1786833";14
Distribution of linked "o";"Q203976";14
Distribution of linked "o";"Q2406451";14
Distribution of linked "o";"Q1344306";14
Distribution of linked "o";"19300101";12
Distribution of linked "o";"Q509510";12
Distribution of linked "o";"02000101";12
Distribution of linked "o";"Q7827898";12
Distribution of linked "o";"Q12236";12
Distribution of linked "o";"Q602515";12
Distribution of linked "o";"Q80845";12
Distribution of linked "o";"19710101";12
Distribution of linked "o";"19520101";12
Distribution of linked "o";"Q2710";12
Distribution of linked "o";"Q310621";12
Distribution of linked "o";"Q2661174";12
Distribution of linked "o";"19630101";12
Distribution of linked "o";"19640101";12
Distribution of linked "o";"19380101";12
Distribution of linked "o";"18980101";12
Distribution of linked "o";"18830101";12
Distribution of linked "o";"19280101";12
Distribution of linked "o";"Q202660";12
Distribution of linked "o";"Q918609";12
Distribution of linked "o";"Q1835695";12
Distribution of linked "o";"Q174512";12
Distribution of linked "o";"Q963242";12
Distribution of linked "o";"Q4107588";12
Distribution of linked "o";"Q189948";12
Distribution of linked "o";"Q137499";12
Distribution of linked "o";"12000101";12
Distribution of linked "o";"Q8648";12
Distribution of linked "o";"Q857048";12
Distribution of linked "o";"Q170327";12
Distribution of linked "o";"Q1246437";12
Distribution of linked "o";"Q156709";12
Distribution of linked "o";"Q4318155";12
Distribution of linked "o";"Q208396";12
Distribution of linked "o";"13000101";12
Distribution of linked "o";"Q606210";12
Distribution of linked "o";"19680101";12
Distribution of linked "o";"15400101";12
Distribution of linked "o";"Q272712";12
Distribution of linked "o";"Q154053";12
Distribution of linked "o";"Q8633";12
Distribution of linked "o";"Q185350";12
Distribution of linked "o";"18890101";12
Distribution of linked "o";"Q15809132";12
Distribution of linked "o";"Q1236452";12
Distribution of linked "o";"18860101";12
Distribution of linked "o";"Q605756";12
Distribution of linked "o";"19490101";12
Distribution of linked "o";"18390101";12
Distribution of linked "o";"Q319826";12
Distribution of linked "o";"Q328687";12
Distribution of linked "o";"Q782387";12
Distribution of linked "o";"Q1162277";12
Distribution of linked "o";"Q287851";12
Distribution of linked "o";"19090101";12
Distribution of linked "o";"Q131215";12
Distribution of linked "o";"Q673651";12
Distribution of linked "o";"Q3277752";12
Distribution of linked "o";"Q684132";12
Distribution of linked "o";"Q918044";12
Distribution of linked "o";"Q23892237";12
Distribution of linked "o";"Q1138634";12
Distribution of linked "o";"Q683351";12
Distribution of linked "o";"Q1270152";12
Distribution of linked "o";"Q179075";12
Distribution of linked "o";"Q392310";12
Distribution of linked "o";"Q221525";12
Distribution of linked "o";"Q2276413";12
Distribution of linked "o";"Q7886397";12
Distribution of linked "o";"Q19571";12
Distribution of linked "o";"Q19598";12
Distribution of linked "o";"Q48953";12
Distribution of linked "o";"Q18729";12
Distribution of linked "o";"Q18510";12
Distribution of linked "o";"Q2627193";12
Distribution of linked "o";"Q657156";12
Distribution of linked "o";"Q180800";12
Distribution of linked "o";"Q160532";12
Distribution of linked "o";"Q292618";12
Distribution of linked "o";"Q459110";12
Distribution of linked "o";"Q116557";12
Distribution of linked "o";"Q870182";12
Distribution of linked "o";"Q940001";12
Distribution of linked "o";"Q11945";12
Distribution of linked "o";"Q1094113";12
Distribution of linked "o";"Q260559";12
Distribution of linked "o";"Q738060";12
Distribution of linked "o";"Q363708";12
Distribution of linked "o";"Q207462";12
Distribution of linked "o";"Q7569724";12
Distribution of linked "o";"Q727147";12
Distribution of linked "o";"Q1636019";12
Distribution of linked "o";"Q192597";12
Distribution of linked "o";"Q321061";12
Distribution of linked "o";"Q2229763";12
Distribution of linked "o";"Q180798";12
Distribution of linked "o";"Q1971820";12
Distribution of linked "o";"Q986529";12
Distribution of linked "o";"19610101";10
Distribution of linked "o";"Q1847803";10
Distribution of linked "o";"Q170566";10
Distribution of linked "o";"Q646204";10
Distribution of linked "o";"Q843210";10
Distribution of linked "o";"Q1062259";10
Distribution of linked "o";"Q725332";10
Distribution of linked "o";"Q693951";10
Distribution of linked "o";"Q170125";10
Distribution of linked "o";"14800101";10
Distribution of linked "o";"Q142005";10
Distribution of linked "o";"Q275626";10
Distribution of linked "o";"19330101";10
Distribution of linked "o";"19460101";10
Distribution of linked "o";"19750101";10
Distribution of linked "o";"18900101";10
Distribution of linked "o";"18910101";10
Distribution of linked "o";"Q1210146";10
Distribution of linked "o";"Q636019";10
Distribution of linked "o";"Q75729";10
Distribution of linked "o";"19310101";10
Distribution of linked "o";"Q7257327";10
