
;NB_triplets
Nb triplets;147611

;NB_o
Nb "o";41330

;NB_s
Nb "s";31610

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;94482
Distribution of linked "o";"Q276533";49
Distribution of linked "o";"Q364698";49
Distribution of linked "o";"Q170117";49
Distribution of linked "o";"Q291447";49
Distribution of linked "o";"Q1023532";49
Distribution of linked "o";"Q208635";49
Distribution of linked "o";"Q11492669";49
Distribution of linked "o";"Q186914";49
Distribution of linked "o";"Q1770361";49
Distribution of linked "o";"Q219241";49
Distribution of linked "o";"Q4965058";49
Distribution of linked "o";"Q855809";48
Distribution of linked "o";"Q1047535";48
Distribution of linked "o";"Q482540";48
Distribution of linked "o";"Q385222";48
Distribution of linked "o";"Q3590754";48
Distribution of linked "o";"Q201584";48
Distribution of linked "o";"Q769512";48
Distribution of linked "o";"Q953632";48
Distribution of linked "o";"Q16320";48
Distribution of linked "o";"Q209509";48
Distribution of linked "o";"Q737947";48
Distribution of linked "o";"Q602515";48
Distribution of linked "o";"Q324338";47
Distribution of linked "o";"Q1062259";47
Distribution of linked "o";"Q208396";47
Distribution of linked "o";"Q181216";47
Distribution of linked "o";"Q28089";47
Distribution of linked "o";"Q238593";47
Distribution of linked "o";"Q206838";47
Distribution of linked "o";"Q48951";47
Distribution of linked "o";"Q207337";47
Distribution of linked "o";"Q586787";46
Distribution of linked "o";"Q639560";46
Distribution of linked "o";"Q141971";46
Distribution of linked "o";"Q1050331";46
Distribution of linked "o";"Q1969085";46
Distribution of linked "o";"Q957565";46
Distribution of linked "o";"Q287804";46
Distribution of linked "o";"15000101";46
Distribution of linked "o";"Q318348";46
Distribution of linked "o";"Q4140015";46
Distribution of linked "o";"Q9213751";46
Distribution of linked "o";"Q214978";46
Distribution of linked "o";"Q1969256";46
Distribution of linked "o";"Q29108";46
Distribution of linked "o";"Q1423118";46
Distribution of linked "o";"Q556570";46
Distribution of linked "o";"Q192641";46
Distribution of linked "o";"Q603271";46
Distribution of linked "o";"Q270181";46
Distribution of linked "o";"Q13391";46
Distribution of linked "o";"Q214940";45
Distribution of linked "o";"Q192071";45
Distribution of linked "o";"Q131215";45
Distribution of linked "o";"Q211906";45
Distribution of linked "o";"Q193749";45
Distribution of linked "o";"Q201567";45
Distribution of linked "o";"Q214151";45
Distribution of linked "o";"Q823384";45
Distribution of linked "o";"Q929360";45
Distribution of linked "o";"Q222861";45
Distribution of linked "o";"Q15224541";45
Distribution of linked "o";"Q1201992";45
Distribution of linked "o";"Q44441";45
Distribution of linked "o";"Q157464";45
Distribution of linked "o";"Q750437";45
Distribution of linked "o";"Q10407";45
Distribution of linked "o";"Q2986008";45
Distribution of linked "o";"Q176371";44
Distribution of linked "o";"Q191264";44
Distribution of linked "o";"Q180857";44
Distribution of linked "o";"Q172014";44
Distribution of linked "o";"Q352251";44
Distribution of linked "o";"Q6463";44
Distribution of linked "o";"Q216131";44
Distribution of linked "o";"Q453925";44
Distribution of linked "o";"Q646079";44
Distribution of linked "o";"Q614987";44
